rank,domain,reason
1115,statuspage.io,http_200
1123,ad-tech.ru,ECONNRESET
1118,us.com,http_200
1125,usercontent.goog,http_404
1130,fbpigeon.com,ENOTFOUND
1131,samsungcloud.tv,ENOTFOUND
1135,transsion-os.com,ENOTFOUND
1134,bmj.com,http_403
1137,hltv.org,http_403
1010,costco.com,timeout
1139,t-bank-app.ru,SELF_SIGNED_CERT_IN_CHAIN
1142,sahibinden.com,http_403
1144,service-now.com,http_403
1022,ddns.net,timeout
1148,bitdefender.net,http_200
1098,inkuai.com,ENOTFOUND
1143,vivo.com,http_404
1158,company-target.com,ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
1150,megafon.ru,http_403
1161,cspserver.net,http_404
1164,susercontent.com,ENOTFOUND
1166,stackexchange.com,http_418
1168,msauth.net,ENOTFOUND
1151,triplinkintl.com,http_200
1163,fb.me,http_200
1174,phncdn.com,ENOTFOUND
1176,biomedcentral.com,http_404
1171,gismeteo.ru,UND_ERR_SOCKET
1178,tubi.io,ENOTFOUND
1156,alipay.com,http_404
1185,tbs.co.jp,http_404
1197,px-cloud.net,http_404
1199,itmedia.co.jp,http_200
1207,namecheaphosting.com,ECONNREFUSED
1209,janitorai.com,http_403
1210,espncricinfo.com,http_403
1169,zdnscloud.com,ENOTFOUND
1218,vscode-cdn.net,http_404
1215,mps.gov.cn,http_521
1220,smilewanted.com,http_404
1221,oneme.ru,ENOTFOUND
1087,dns.cn,timeout
1227,meesho.com,http_403
1219,acesso.gov.br,http_200
1234,microsoftpersonalcontent.com,ENOTFOUND
1235,adaether.com,ENOTFOUND
1231,tradplusad.com,http_200
1232,plex.direct,ENOTFOUND
1113,cbc.ca,timeout
1244,nsone.net,http_200
1119,amd.com,timeout
1249,naukri.com,http_403
1252,kernel.org,http_404
1255,h264.io,ENOTFOUND
1259,googleapis.cn,http_404
1258,argos.co.uk,http_403
1260,poste.it,http_200
1261,ap4r.com,http_403
1262,tendawifi.com,ENOTFOUND
1266,donmai.us,http_404
1268,jusbrasil.com.br,http_403
1146,gtm-a2b2.com,timeout
1274,businesswire.com,http_403
1277,com.be,ENOTFOUND
1282,youporn.com,http_403
1283,kohls.com,http_403
1286,supersonicads.com,ENOTFOUND
1291,cricbuzz.com,http_403
1300,buydomains.com,http_403
1301,xvideos-cdn.com,ENOTFOUND
1304,adfuse-ssp.com,http_404
1309,bilibili.tv,http_404
1319,datadome.co,http_403
1205,makemytrip.com,timeout
1327,akamaitechnologies.com,ENOTFOUND
1334,tapad.com,http_404
1339,youjizz.com,http_403
1342,hik-connect.com,http_200
1345,zijieapi.com,ENOTFOUND
1344,hollywoodbets.net,http_403
1343,id.me,http_403
1346,0xrpc.io,http_404
1349,kueezrtb.com,http_200
1352,admanmedia.com,http_404
1225,dhl.com,timeout
1357,subito.it,http_403
1364,deepseek.com,http_404
1366,wshifen.com,ENOTFOUND
1365,cloudflareclient.com,http_522
1348,gst.gov.in,http_403
1241,rackspace.net,timeout
1387,platorelay.com,ENOTFOUND
1391,bookmyshow.com,http_403
1393,yimg.com,http_200
1382,netkeiba.com,http_404
1396,9ffyu1g9c.com,ENOTFOUND
1395,cardgames.io,http_200
1310,mmechocaptiveportal.com,timeout
1401,sun.com,http_403
1398,uci.edu,http_404
1284,myntra.com,timeout
1426,azure.net,http_200
1431,_wildcard_.ph,ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
1434,commercialrealestate.com.au,http_403
1439,spbycdn.com,ENOTFOUND
1438,porno365.golf,ERR_TLS_CERT_ALTNAME_INVALID
1441,simpcity.cr,http_403
1452,tinkoff.ru,SELF_SIGNED_CERT_IN_CHAIN
1410,uidai.gov.in,http_404
1460,apigee.net,ENOTFOUND
1454,eci.gov.in,http_403
1471,toyhou.se,http_403
1479,cityheaven.net,http_403
1487,ptt.cc,http_404
1498,mangafire.to,http_403
1500,torob.com,http_429
1493,epfindia.gov.in,ECONNRESET
1505,iporntv.net,http_404
1504,websitewelcome.com,ERR_TLS_CERT_ALTNAME_INVALID
1367,karnataka.gov.in,timeout
1511,ultradns.com,http_503
1371,russianpost.ru,timeout
1510,nfse.gov.br,http_404
1521,theqoo.net,http_403
1524,amp-endpoint2.com,ENOTFOUND
1525,casinoplus.com.ph,http_403
1422,zozo.jp,timeout
1497,ioh.co.id,http_200
1538,listcrawler.eu,http_403
1539,absher.sa,http_200
1541,parivahan.gov.in,http_404
1443,everesttech.net,timeout
1567,ttlivecdn.com,ENOTFOUND
1578,skokka.com,http_403
1582,bet365.com,http_403
1583,indoav.com,http_200
1587,xxx18hot.com,ECONNREFUSED
1588,bingoplus.com,http_403
1591,gartner.com,http_403
1575,afip.gob.ar,http_404
1596,search-start.org,ENOTFOUND
1600,syosetu.org,http_403
1614,njavtv.com,http_404
1617,33apk.com,http_404
1620,ak2yy.com,http_404
1619,agenciatributaria.gob.es,http_200
1624,banvenez.com,ENOTFOUND
1627,eepurl.com,http_400
1623,czbooks.net,http_404
1635,happymh.com,ENOTFOUND
1456,nosv.org,timeout
1643,ptgaming.ph,http_403
1646,tjk.org,http_400
1658,dto.jp,http_403
1655,choiceadvantage.com,http_404
1671,aucey.com,http_404
1669,mileroticos.com,http_403
1675,manhwaread.com,http_403
1674,bancodevenezuela.com,http_200
1685,eroterest.net,ENOTFOUND
1677,anses.gob.ar,http_403
1678,digitallocker.gov.in,http_403
1682,ecnavi.jp,err
1684,humoruniv.com,http_404
1556,redbus.in,timeout
1693,contextweb.com,http_404
1692,kemkes.go.id,http_404
1701,simontokx.asia,ENOTFOUND
1702,usercontent.microsoft,ENOTFOUND
1641,salonboard.com,timeout
1703,triunfobet.com,http_403
1637,patria.org.ve,timeout
1707,fawanews.sc,ERR_TLS_CERT_ALTNAME_INVALID
1706,unlockffbeta.com,http_404
1716,koselarab.com,http_403
1720,rings.solutions,ENOTFOUND
1710,minhngoc.net.vn,http_404
1731,gree-apps.net,ENOTFOUND
1733,kumanga.com,http_403
1725,pitc.com.pk,ECONNRESET
1724,site777.jp,http_403
1734,bpcl.in,ENOTFOUND
1743,satta-king-fast.com,http_403
1744,javwow.com,http_403
1742,vnsextop1.com,http_403
1661,promiedos.com.ar,http_404
1745,ganamosnet.org,http_403
1748,moviespage.xyz,ENOTFOUND
1750,filmyfly.cafe,http_403
1749,staseraintv.com,http_404
1618,ewaybillgst.gov.in,timeout
1755,tktube.com,ENOTFOUND
1754,xvideo.vlog.br,http_403
1762,gree-pf.net,ENOTFOUND
1751,overwolf.com,http_404
1761,education.dz,ENOTFOUND
1767,playinrace.com,ENOTFOUND
1753,rsch.jp,http_403
1769,onlar.az,http_403
1772,isaidub.guru,ENOTFOUND
1768,delegaciondelgobierno.gob.es,http_200
1779,ahacdn.me,http_404
1765,playinboss.com,http_202
1776,apdcdn.com,ENOTFOUND
1764,examinationservices.nic.in,http_200
1784,bbb.org,http_403
1775,mgslb.com,ERR_TLS_CERT_ALTNAME_INVALID
1783,tawk.to,http_404
1788,inleed.net,http_404
1781,attn.tv,http_404
1796,api.aws,ENOTFOUND
1793,meitu.com,http_200
1808,enable-javascript.com,http_404
1798,twc.com,http_403
1811,your-server.de,http_404
1812,sendgrid.net,http_404
1770,nregastrep.nic.in,ECONNRESET
1815,rfihub.com,ENOTFOUND
1814,omnitagjs.com,ENOTFOUND
1817,edgecastdns.net,ENOTFOUND
1777,spectrum.com,http_403
1821,ctdns.cn,ENOTFOUND
1827,cloudfunctions.net,http_404
1829,dbankcloud.cn,http_403
1835,ns1p.net,http_404
1828,ltwebstatic.com,http_404
1838,geocities.com,ERR_TLS_CERT_ALTNAME_INVALID
1839,groww.in,http_403
1844,gpcloudservice.com,ENOTFOUND
1843,tremorhub.com,http_403
1848,ipredictive.com,ENOTFOUND
1809,nelreports.net,ENOTFOUND
1849,arstechnica.com,http_202
1856,battle.net,http_403
1858,igamecj.com,ENOTFOUND
1855,sitescout.com,http_200
1859,udemy.com,http_403
1860,sinaedge.com,ENOTFOUND
1863,pubmnet.com,ENOTFOUND
1864,unrulymedia.com,http_404
1866,gygtest.com,ENOTFOUND
1865,tdnsstic1.cn,ENOTFOUND
1785,rayjump.com,http_404
1718,kinnser.net,timeout
1874,dnse1.com,ENOTFOUND
1871,vivox.com,http_200
1878,tripod.com,ENOTFOUND
1877,wswebpic.com,ENOTFOUND
1882,indexww.com,http_404
1884,ad-delivery.net,http_404
1894,investing.com,http_403
1899,1drv.com,http_400
1901,litix.io,http_200
1904,bytefcdn-ttpeu.com,ENOTFOUND
1905,jup9.com,http_404
1908,restream-media.net,ENOTFOUND
1912,blackrussia.online,http_200
1914,vtb.ru,UNABLE_TO_GET_ISSUER_CERT_LOCALLY
1800,apple-cloudkit.com,timeout
1925,acrobat.com,http_200
1928,hulu.com,http_200
1931,azure-api.net,ENOTFOUND
1831,rncdn7.com,timeout
1879,xhscdn.com,timeout
1934,akamai.com,http_403
1933,otm-r.com,http_200
1932,adobelogin.com,ERR_TLS_CERT_ALTNAME_INVALID
1937,aadrm.com,ENOTFOUND
1935,mofa.gov.sa,http_200
1936,xserver.jp,ERR_SSL_UNSUPPORTED_PROTOCOL
1851,alikunlun.com,timeout
1852,mona.co,timeout
1947,iau.ir,http_403
1952,steamcontent.com,ENOTFOUND
1953,registraduria.gov.co,http_403
1955,sslip.io,http_404
1959,betano.pe,http_403
1958,about.com,http_200
1961,easytrader.ir,http_200
1910,office365.us,http_200
1915,wb.gov.in,http_404
1968,betano.bet.ar,http_403
1970,arionplay.com,http_403
1975,telegra.ph,http_404
1978,mastiraja.com,http_403
1980,lolpol2.com,http_403
1979,typepad.com,http_403
1971,postrelease.com,http_403
1981,hotpic.cc,http_200
1972,ssc.gov.in,http_404
1898,mp.gov.in,timeout
1992,betway.co.bw,http_200
1926,opera-api2.com,timeout
1993,education.ne.jp,ENOTFOUND
2003,allyonoapp.in,ENOTFOUND
2001,5movierulz.discount,http_200
2005,dkitrxmdwoqruvsi.net,ENOTFOUND
2004,zenlogic.net,ECONNREFUSED
2000,admissions.nic.in,http_404
2008,mitre.org,http_403
